"Variables ->","cpi","vm_cpi","va_cpi","va_cpi_core","ner","i","MB","ME","M1","M2","PS_CRED","gdp_index","REM","gdp_index_star","i_star","cpi_core_star","cpi_star","pce","pce_core","pet","L_cpi","L_ner","L_MB","L_ME","L_M1","L_M2","L_PS_CRED","L_gdp_index","L_REM","L_gdp_index_star","L_cpi_core_star","L_cpi_star","L_pce","L_pce_core","L_pet","D4L_cpi","D4L_ner","D4L_MB","D4L_ME","D4L_M1","D4L_M2","D4L_PS_CRED","D4L_gdp_index","D4L_REM","D4L_gdp_index_star","D4L_cpi_core_star","D4L_cpi_star","D4L_pce","D4L_pce_core","D4L_pet","DLA_cpi","DLA_ner","DLA_MB","DLA_ME","DLA_M1","DLA_M2","DLA_PS_CRED","DLA_gdp_index","DLA_REM","DLA_gdp_index_star","DLA_cpi_core_star","DLA_cpi_star","DLA_pce","DLA_pce_core","DLA_pet","L_gdp_sa","YT_hp","L_gdp_gap_hp","YT_star_hp","L_gdp_gap_star_hp","YT_ham","L_gdp_gap_ham","YT_star_ham","L_gdp_star_gap_ham"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2001M01",3.02397566e+01,NaN,6.05000000e+00,NaN,7.80000000e+00,5.72000000e+00,1.16111000e+04,7.59850000e+03,1.82603000e+04,3.94422000e+04,2.65681000e+04,6.72204587e+01,NaN,8.79500000e+01,5.74000000e+00,1.83900000e+02,1.75600000e+02,7.49320000e+01,7.57960000e+01,2.95857143e+01,3.40915750e+02,2.05412373e+02,9.35971682e+02,8.93570614e+02,9.81248458e+02,1.05825916e+03,1.01874665e+03,4.20797765e+02,NaN,4.47685401e+02,5.21439213e+02,5.16820868e+02,4.31658104e+02,4.32804552e+02,3.38729162e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.17802411e+02,4.17266499e+02,5.35912655e-01,4.47174568e+02,5.10833100e-01,NaN,NaN,NaN,NaN
"2001M02",3.04605065e+01,7.29999030e-01,5.99000000e+00,NaN,7.74000000e+00,6.24000000e+00,1.17861000e+04,7.61860000e+03,1.77487000e+04,3.89694000e+04,2.65913000e+04,6.59064663e+01,NaN,8.80900000e+01,5.59000000e+00,1.84400000e+02,1.76000000e+02,7.50480000e+01,7.59300000e+01,2.96094737e+01,3.41643098e+02,2.04640169e+02,9.37467615e+02,8.93834790e+02,9.78406755e+02,1.05705320e+03,1.01883394e+03,4.18823656e+02,NaN,4.47828878e+02,5.21710731e+02,5.17048400e+02,4.31812791e+02,4.32981186e+02,3.38809437e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.72816921e+00,-9.26645531e+00,1.79512007e+01,3.17011967e+00,-3.41004367e+01,-1.44715036e+01,1.04741595e+00,-2.36893033e+01,NaN,1.90865753e+00,3.25821541e+00,2.73037660e+00,1.85624787e+00,2.11961090e+00,9.63296866e-01,4.18108623e+02,4.17550808e+02,5.57814085e-01,4.47233488e+02,5.95390022e-01,NaN,NaN,NaN,NaN
"2001M03",3.06245774e+01,5.38634805e-01,5.42000000e+00,NaN,7.70000000e+00,5.40000000e+00,1.19617000e+04,7.80030000e+03,1.85794000e+04,3.96114000e+04,2.69141000e+04,6.88095359e+01,NaN,8.81700000e+01,5.29000000e+00,1.84700000e+02,1.76100000e+02,7.50550000e+01,7.60090000e+01,2.72445455e+01,3.42180287e+02,2.04122033e+02,9.38946516e+02,8.96191747e+02,9.82980872e+02,1.05868722e+03,1.02004056e+03,4.23134234e+02,NaN,4.47935842e+02,5.21873289e+02,5.17105202e+02,4.31822118e+02,4.33085175e+02,3.30485333e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.44627227e+00,-6.21763049e+00,1.77468094e+01,2.82834825e+01,5.48893995e+01,1.96082794e+01,1.44794619e+01,5.17269349e+01,NaN,1.08929997e+00,1.95069130e+00,6.81624557e-01,1.11923146e-01,1.24786932e+00,-9.98892393e+01,4.18025807e+02,4.17835155e+02,1.90651704e-01,4.47292444e+02,6.43398153e-01,NaN,NaN,NaN,NaN
"2001M04",3.07558341e+01,4.28599253e-01,4.87000000e+00,NaN,7.75000000e+00,4.42000000e+00,1.19378000e+04,7.80380000e+03,1.83224000e+04,3.95561000e+04,2.69248000e+04,6.70582373e+01,NaN,8.81700000e+01,4.67000000e+00,1.85100000e+02,1.76400000e+02,7.51870000e+01,7.61300000e+01,2.74900000e+01,3.42607970e+02,2.04769284e+02,9.38746512e+02,8.96236607e+02,9.81587963e+02,1.05854752e+03,1.02008031e+03,4.20556145e+02,NaN,4.47948191e+02,5.22089622e+02,5.17275414e+02,4.31997834e+02,4.33244241e+02,3.31382230e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13220059e+00,7.76701741e+00,-2.40005101e+00,5.38320066e-01,-1.67149021e+01,-1.67644578e+00,4.76978548e-01,-3.09370612e+01,NaN,0.00000000e+00,2.59599885e+00,2.04255368e+00,2.10859867e+00,1.90878119e+00,1.07627617e+01,4.18198542e+02,4.18119616e+02,7.89269375e-02,4.47351513e+02,5.96678917e-01,NaN,NaN,NaN,NaN
"2001M05",3.08483105e+01,3.00678953e-01,6.05000000e+00,NaN,7.77000000e+00,5.05000000e+00,1.19315000e+04,7.73020000e+03,1.78268000e+04,4.06885000e+04,2.23768000e+04,6.41326038e+01,NaN,8.83100000e+01,4.24000000e+00,1.85300000e+02,1.77300000e+02,7.53850000e+01,7.61480000e+01,2.86290909e+01,3.42908198e+02,2.05027016e+02,9.38693724e+02,8.95289001e+02,9.78845822e+02,1.06137008e+03,1.00157800e+03,4.16095287e+02,NaN,4.48088690e+02,5.22197613e+02,5.17784321e+02,4.32260832e+02,4.33267882e+02,3.35442337e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.60273381e+00,3.09278522e+00,-6.33449676e-01,-1.13712709e+01,-3.29056945e+01,3.38706957e+01,-2.22027705e+02,-5.35302962e+01,NaN,1.90389886e+00,1.29589645e+00,6.10688341e+00,3.15596707e+00,2.83691671e-01,4.87212760e+01,4.17669363e+02,4.18404278e+02,-7.34914879e-01,4.47410815e+02,6.77875918e-01,NaN,NaN,NaN,NaN
"2001M06",3.10750266e+01,7.34938597e-01,6.30000000e+00,NaN,7.80000000e+00,4.98000000e+00,1.17870000e+04,7.78760000e+03,1.76270000e+04,4.17557000e+04,2.25413000e+04,6.05569835e+01,NaN,8.82700000e+01,3.95000000e+00,1.86000000e+02,1.77700000e+02,7.55180000e+01,7.63180000e+01,2.75990476e+01,3.43640449e+02,2.05412373e+02,9.37475251e+02,8.96028800e+02,9.77718710e+02,1.06395912e+03,1.00231045e+03,4.10358480e+02,NaN,4.48053124e+02,5.22574667e+02,5.18009674e+02,4.32437104e+02,4.33490882e+02,3.31778127e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.78701299e+00,4.62428318e+00,-1.46216789e+01,8.87758756e+00,-1.35253506e+01,3.10685660e+01,8.78936921e+00,-6.88416925e+01,NaN,-5.43662938e-01,4.52464851e+00,2.70422650e+00,2.11526665e+00,2.67600756e+00,-4.39705199e+01,4.16737088e+02,4.18689238e+02,-1.95214925e+00,4.47470513e+02,5.82611035e-01,NaN,NaN,NaN,NaN
"2001M07",3.13464893e+01,8.73572028e-01,6.97000000e+00,NaN,7.80000000e+00,4.83000000e+00,1.21245000e+04,7.98780000e+03,1.83583000e+04,4.20500000e+04,2.27873000e+04,6.42346553e+01,NaN,8.82900000e+01,3.82000000e+00,1.86400000e+02,1.77400000e+02,7.54930000e+01,7.65150000e+01,2.64247619e+01,3.44510228e+02,2.05412373e+02,9.40298348e+02,8.98567066e+02,9.81783707e+02,1.06466147e+03,1.00339586e+03,4.16254287e+02,NaN,4.48037897e+02,5.22789490e+02,5.17840707e+02,4.32403994e+02,4.33748680e+02,3.27430152e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.04373416e+01,0.00000000e+00,3.38771635e+01,3.04591831e+01,4.87799650e+01,8.42810099e+00,1.30250172e+01,7.07496845e+01,NaN,2.71862258e-01,2.57787425e+00,-2.02759834e+00,-3.97322053e-01,3.09357444e+00,-5.21756932e+01,4.17158764e+02,4.18974538e+02,-1.81577354e+00,4.47530819e+02,5.07078261e-01,NaN,NaN,NaN,NaN
"2001M08",3.17372764e+01,1.24666921e+00,8.79000000e+00,NaN,7.85000000e+00,4.83000000e+00,1.20131000e+04,7.86270000e+03,1.76078000e+04,4.21588000e+04,2.26693000e+04,6.39905608e+01,NaN,8.82400000e+01,3.66000000e+00,1.86700000e+02,1.77400000e+02,7.54840000e+01,7.65530000e+01,2.73739130e+01,3.45749190e+02,2.06051353e+02,9.39375300e+02,8.96988534e+02,9.77609726e+02,1.06491987e+03,1.00287669e+03,4.15873559e+02,NaN,4.47973811e+02,5.22950305e+02,5.17840707e+02,4.32392071e+02,4.33798331e+02,3.30959048e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.48675473e+01,7.66775772e+00,-1.10765734e+01,-1.89423825e+01,-5.00877632e+01,3.10086529e+00,-6.23013239e+00,-4.56873889e+00,NaN,-6.79771162e-01,1.92977796e+00,0.00000000e+00,-1.43068150e-01,5.95813638e-01,4.23467517e+01,4.17723411e+02,4.19260087e+02,-1.53667612e+00,4.47591982e+02,3.81829628e-01,NaN,NaN,NaN,NaN
