"Variables ->","i","i_star","D4L_cpi","D4L_pce_core","gdp_gap","gdp_gap_star"
"Comments ->","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2001M01",5.72000000e+00,5.74000000e+00,NaN,NaN,NaN,NaN
"2001M02",6.24000000e+00,5.59000000e+00,NaN,NaN,NaN,NaN
"2001M03",5.40000000e+00,5.29000000e+00,NaN,NaN,NaN,NaN
"2001M04",4.42000000e+00,4.67000000e+00,NaN,NaN,NaN,NaN
"2001M05",5.05000000e+00,4.24000000e+00,NaN,NaN,NaN,NaN
"2001M06",4.98000000e+00,3.95000000e+00,NaN,NaN,NaN,NaN
"2001M07",4.83000000e+00,3.82000000e+00,NaN,NaN,NaN,NaN
"2001M08",4.83000000e+00,3.66000000e+00,NaN,NaN,NaN,NaN
"2001M09",4.63000000e+00,2.75000000e+00,NaN,NaN,NaN,NaN
"2001M10",4.47000000e+00,2.66000000e+00,NaN,NaN,NaN,NaN
"2001M11",4.93000000e+00,2.06000000e+00,NaN,NaN,NaN,NaN
"2001M12",4.52000000e+00,1.52000000e+00,NaN,NaN,5.49159746e-01,-1.41539438e+00
"2002M01",4.53000000e+00,1.85000000e+00,8.47893187e+00,1.40831714e+00,4.34365642e-01,-1.50422240e+00
"2002M02",4.23000000e+00,1.83000000e+00,8.62684377e+00,1.42272975e+00,7.69470840e-01,-1.43754229e+00
"2002M03",5.25000000e+00,1.74000000e+00,8.73441352e+00,1.43812195e+00,3.60161967e-01,-1.31199854e+00
"2002M04",4.56000000e+00,1.82000000e+00,8.84975015e+00,1.55749133e+00,1.49536272e+00,-1.21281878e+00
"2002M05",4.31000000e+00,1.79000000e+00,8.90400691e+00,1.64500743e+00,2.38634904e+00,-1.07710071e+00
"2002M06",4.39000000e+00,1.73000000e+00,8.74512660e+00,1.58077285e+00,7.23862795e-01,-7.37974253e-01
"2002M07",4.11000000e+00,1.76000000e+00,8.70748190e+00,1.52654919e+00,9.74735699e-02,-5.94738029e-01
"2002M08",4.91000000e+00,1.81000000e+00,7.44234730e+00,1.67363587e+00,-8.07428609e-02,-4.20548385e-01
"2002M09",4.45000000e+00,1.85000000e+00,6.86117755e+00,2.40650201e+00,1.17381414e+00,-3.66934500e-01
"2002M10",4.47000000e+00,1.82000000e+00,6.39396715e+00,1.78940983e+00,-4.89775974e-01,-2.61017100e-01
"2002M11",5.40000000e+00,1.23000000e+00,6.15151617e+00,1.68344581e+00,-2.11310480e-01,-3.39265141e-01
"2002M12",2.22000000e+00,1.16000000e+00,6.13427121e+00,1.75342363e+00,4.68288356e-01,-3.02666336e-01
"2003M01",1.03000000e+00,1.33000000e+00,6.01447062e+00,1.76523335e+00,4.57828507e-01,-2.30107880e-01
"2003M02",4.13000000e+00,1.33000000e+00,5.82807736e+00,1.71212812e+00,1.98390579e-01,-3.85702101e-01
"2003M03",1.41000000e+00,1.38000000e+00,5.61462683e+00,1.75343859e+00,3.55436044e-01,-4.41727689e-01
"2003M04",8.70000000e-01,1.31000000e+00,5.51786697e+00,1.58580745e+00,-1.13555545e+00,-5.39129736e-01
"2003M05",8.20000000e-01,1.28000000e+00,5.41510262e+00,1.61838430e+00,-1.98298410e+00,-5.93868714e-01
"2003M06",1.10000000e+00,1.45000000e+00,5.10953683e+00,1.51552961e+00,-1.73274423e+00,-6.73787384e-01
"2003M07",1.48000000e+00,1.04000000e+00,4.54449280e+00,1.56190319e+00,-5.59511966e-01,-5.55717485e-01
"2003M08",1.40000000e+00,1.01000000e+00,4.84535626e+00,1.47788140e+00,-1.38670513e+00,-4.57389789e-01
"2003M09",1.45000000e+00,1.17000000e+00,5.52222293e+00,1.45400624e+00,-1.87203704e+00,-4.95059693e-01
"2003M10",1.71000000e+00,1.03000000e+00,5.67221328e+00,1.55377002e+00,-2.36495733e+00,-2.20073354e-01
"2003M11",1.96000000e+00,1.01000000e+00,5.67192766e+00,1.59259662e+00,-1.97629575e+00,-1.26753716e-03
"2003M12",1.83000000e+00,9.40000000e-01,5.68993129e+00,1.62384478e+00,-2.89878622e+00,2.75976953e-01
"2004M01",1.83000000e+00,1.03000000e+00,6.02731649e+00,1.81246294e+00,-1.52088797e+00,4.09304678e-01
"2004M02",1.94000000e+00,1.04000000e+00,6.07492509e+00,1.83630625e+00,4.49336080e-01,5.62765538e-01
"2004M03",1.86000000e+00,1.05000000e+00,6.35887031e+00,1.84339344e+00,-1.32455779e+00,5.91480810e-01
"2004M04",1.92000000e+00,1.03000000e+00,6.44177460e+00,1.99246681e+00,-1.32227904e+00,7.46099708e-01
"2004M05",2.10000000e+00,1.02000000e+00,7.01374992e+00,1.98589515e+00,-1.65628822e+00,7.97542318e-01
"2004M06",2.26000000e+00,1.38000000e+00,7.14359078e+00,2.08811021e+00,-1.32374205e-01,7.52263968e-01
"2004M07",2.72000000e+00,1.29000000e+00,7.35779374e+00,1.95628270e+00,5.66114883e-02,7.09594324e-01
"2004M08",2.41000000e+00,1.55000000e+00,7.37694754e+00,1.88208102e+00,4.13437036e-01,6.41444754e-01
"2004M09",2.08000000e+00,1.94000000e+00,7.73901861e+00,1.93033471e+00,1.41667029e-01,7.03455293e-01
"2004M10",2.07000000e+00,1.79000000e+00,8.28539391e+00,1.96269676e+00,5.44199740e-02,7.03560942e-01
"2004M11",2.43000000e+00,2.02000000e+00,8.82209511e+00,2.04156168e+00,2.67363546e-01,7.26131620e-01
"2004M12",2.68000000e+00,1.97000000e+00,8.82546892e+00,2.04520879e+00,9.26803119e-01,6.26964630e-01
"2005M01",2.55000000e+00,2.50000000e+00,8.65358769e+00,2.14819029e+00,-6.43020010e-01,5.87246870e-01
"2005M02",2.61000000e+00,2.52000000e+00,8.65127679e+00,2.15211361e+00,6.45479359e-01,5.50914355e-01
"2005M03",2.75000000e+00,2.96000000e+00,8.40307488e+00,2.23054816e+00,-1.45786934e-01,6.21906265e-01
"2005M04",2.75000000e+00,2.97000000e+00,8.50533104e+00,2.08560837e+00,9.03782996e-01,6.37027097e-01
"2005M05",2.82954545e+00,3.09000000e+00,8.17959775e+00,2.15353682e+00,1.00688922e+00,6.48279118e-01
"2005M06",3.00000000e+00,3.35000000e+00,8.43491589e+00,2.06489930e+00,-6.34442334e-01,7.08968981e-01
"2005M07",3.05952381e+00,3.31000000e+00,8.89326567e+00,2.09291377e+00,-1.08277324e+00,7.60882837e-01
"2005M08",3.33695652e+00,3.63000000e+00,8.96011280e+00,2.13589853e+00,-1.51113351e+00,8.25029176e-01
"2005M09",3.61363636e+00,3.93000000e+00,9.02686570e+00,2.16955916e+00,-1.36308447e+00,7.86942640e-01
"2005M10",3.75000000e+00,4.02000000e+00,9.79278020e+00,2.23994490e+00,-4.05365787e+00,8.01640710e-01
