"Variables ->","i","i_star","D4L_cpi","D4L_ner","D4L_MB","D4L_REM","D4L_pet","gdp_gap_star","gdp_gap"
"Comments ->","","","","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2001M01",5.72000000e+00,5.74000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M02",6.24000000e+00,5.59000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M03",5.40000000e+00,5.29000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M04",4.42000000e+00,4.67000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M05",5.05000000e+00,4.24000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M06",4.98000000e+00,3.95000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M07",4.83000000e+00,3.82000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M08",4.83000000e+00,3.66000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M09",4.63000000e+00,2.75000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M10",4.47000000e+00,2.66000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M11",4.93000000e+00,2.06000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001M12",4.52000000e+00,1.52000000e+00,NaN,NaN,NaN,NaN,NaN,-1.41539438e+00,5.49159746e-01
"2002M01",4.53000000e+00,1.85000000e+00,8.47893187e+00,2.78146882e+00,1.70581609e+01,NaN,-4.05923929e+01,-1.50422240e+00,4.34365642e-01
"2002M02",4.23000000e+00,1.83000000e+00,8.62684377e+00,2.55115877e+00,1.11703783e+01,NaN,-3.56817156e+01,-1.43754229e+00,7.69470840e-01
"2002M03",5.25000000e+00,1.74000000e+00,8.73441352e+00,2.69074529e+00,1.59006074e+01,NaN,-1.04915710e+01,-1.31199854e+00,3.60161967e-01
"2002M04",4.56000000e+00,1.82000000e+00,8.84975015e+00,8.99171119e-01,1.52306334e+01,NaN,-4.88612669e+00,-1.21281878e+00,1.49536272e+00
"2002M05",4.31000000e+00,1.79000000e+00,8.90400691e+00,1.27878980e+00,1.30122833e+01,NaN,-5.70556852e+00,-1.07710071e+00,2.38634904e+00
"2002M06",4.39000000e+00,1.73000000e+00,8.74512660e+00,1.27390258e+00,1.10777226e+01,NaN,-7.83775863e+00,-7.37974253e-01,7.23862795e-01
"2002M07",4.11000000e+00,1.76000000e+00,8.70748190e+00,7.66287275e-01,1.19221693e+01,NaN,2.02823556e+00,-5.94738029e-01,9.74735699e-02
"2002M08",4.91000000e+00,1.81000000e+00,7.44234730e+00,-1.02433674e+00,1.34160716e+01,NaN,3.62703556e+00,-4.20548385e-01,-8.07428609e-02
"2002M09",4.45000000e+00,1.85000000e+00,6.86117755e+00,-2.16155905e+00,4.74525539e+00,NaN,1.24178012e+01,-3.66934500e-01,1.17381414e+00
"2002M10",4.47000000e+00,1.82000000e+00,6.39396715e+00,-4.79890055e+00,6.27778841e+00,NaN,2.62922287e+01,-2.61017100e-01,-4.89775974e-01
"2002M11",5.40000000e+00,1.23000000e+00,6.15151617e+00,-5.99287007e+00,2.02376800e+01,NaN,2.94234480e+01,-3.39265141e-01,-2.11310480e-01
"2002M12",2.22000000e+00,1.16000000e+00,6.13427121e+00,-3.97233520e+00,1.54259200e+01,NaN,4.18362558e+01,-3.02666336e-01,4.68288356e-01
"2003M01",1.03000000e+00,1.33000000e+00,6.01447062e+00,-2.78146882e+00,3.55321889e+00,6.83485270e+01,5.13536856e+01,-2.30107880e-01,4.57828507e-01
"2003M02",4.13000000e+00,1.33000000e+00,5.82807736e+00,-1.39507653e+00,1.72536121e+01,4.03049231e+01,5.47464252e+01,-3.85702101e-01,1.98390579e-01
"2003M03",1.41000000e+00,1.38000000e+00,5.61462683e+00,0.00000000e+00,4.67096828e+00,3.88813475e+01,3.12005746e+01,-4.41727689e-01,3.55436044e-01
"2003M04",8.70000000e-01,1.31000000e+00,5.51786697e+00,1.14432272e+00,1.47529546e+01,2.63137617e+01,7.33134506e+00,-5.39129736e-01,-1.13555545e+00
"2003M05",8.20000000e-01,1.28000000e+00,5.41510262e+00,3.80469704e-01,9.14589247e+00,7.35660394e+01,3.87068825e+00,-5.93868714e-01,-1.98298410e+00
"2003M06",1.10000000e+00,1.45000000e+00,5.10953683e+00,2.52844635e-01,1.21598204e+01,2.32474879e+01,1.83632848e+01,-6.73787384e-01,-1.73274423e+00
"2003M07",1.48000000e+00,1.04000000e+00,4.54449280e+00,7.60459939e-01,1.42879243e+01,3.41170757e+01,1.31453926e+01,-5.55717485e-01,-5.59511966e-01
"2003M08",1.40000000e+00,1.01000000e+00,4.84535626e+00,1.91210414e+00,9.89569851e+00,9.73805160e+00,1.06467128e+01,-4.57389789e-01,-1.38670513e+00
"2003M09",1.45000000e+00,1.17000000e+00,5.52222293e+00,2.53820733e+00,1.23055492e+01,1.15732478e+01,-4.66517743e+00,-4.95059693e-01,-1.87203704e+00
"2003M10",1.71000000e+00,1.03000000e+00,5.67221328e+00,4.67551991e+00,1.77112064e+01,7.43105284e+00,5.07669512e+00,-2.20073354e-01,-2.36495733e+00
